Naam,Type,Status,URL,Toelichting,Impact IenW
Unitary supplementary protection certificate for plant protection products,Legislative,Ingediend,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-patent-licensing-package-2-1,,
Proposal for a regulation on compulsory licensing for crisis management and amending Regulation (EC) 816/2006,Legislative,Ingediend,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-compulsory-licensing-of-patents-for-crisis-management,,
Unitary supplementary certificate for medicinal products,Legislative,Ingediend,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-unitary-supplementary-certificate-for-medicinal-products,,
Revision of the legislation on supplementary protection certificates for medicinal products (Recast),Legislative,Ingediend,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-supplementary-protection-certificates-for-medicinal-products,,
 Proposal for a regulation on privacy and electronic communications,Legislative,Geblokkeerd,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-jd-e-privacy-reform,,
Allocation of slots at EU airports: common rules - recast,Legislative,Geblokkeerd,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-allocation-of-slots-at-eu-airports-common-rules-recast,,
 Common rules for access to the international market for coach and bus services,Legislative,Geblokkeerd,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-jd-common-rules-for-coach-and-bus-services,,
Directive discontinuing seasonal changes of time,Legislative,Geblokkeerd,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-discontinuing-seasonal-changes-of-time,,
Initiative to improve the working conditions of people working in the platform economy,Legislative,Bijna adoptie,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-improving-working-conditions-of-platform-workers,,
Single market emergency instrument,Legislative,Bijna adoptie,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-single-market-emergency-instrument,,
Horizontal cybersecurity requirements for products with digital elements,Legislative,Bijna adoptie,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-european-cyber-resilience-act,,
Revision of the Community Design Regulation,Legislative,Bijna adoptie,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-revision-of-the-design-directive-and-of-the-community-design-regulation,,
New Product Liability Directive,Legislative,Bijna adoptie,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-new-product-liability-directive,,
"Regulation on measures to strengthen solidarity and capacities in the Union to detect, prepare for and respond to cybersecurity threats and incidents",Legislative,Bijna adoptie,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-cyber-solidarity-act,,
Revision of the Design Directive (Recast),Legislative,Bijna adoptie,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-revision-of-the-design-directive-(recast),,
Managed security services,Legislative,Bijna adoptie,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-managed-security-services,,
"Proposal for a regulation on emergency procedures for the conformity assessment,
adoption of common specifications and market surveillance due to a Single Market
emergency",Legislative,Bijna adoptie,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-smei-package-regulation-on-emergency-procedures,,
"Proposal for a directive of the European Parliament and of the Council on emergency procedures for the
conformity assessment, adoption of common specifications and market surveillance due to a Single Market emergency",Legislative,Bijna adoptie,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-smei-package-directive-on-emergency-procedures,,
 Use of vehicles hired without drivers for the carriage of goods by road,Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-jd-vehicles-hired-for-the-carriage-of-goods-by-road,,
Recast of the Regulation on rail passengers’ rights and obligations,Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-rail-passengers-rights-and-obligations-(recast),,
"Online platforms, the digital single market and disinformation",Niet-regelgevend,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-online-platforms-disinformation,,
White paper on artificial intelligence including follow-up,Niet-regelgevend,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-white-paper-artificial-intelligence-and-follow-up,,
 Proposal for a regulation establishing the Connecting Europe Facility 2021-2027,Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-mff-cef-2021-2027,,
EU Space Programme,Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-mff-eu-space-programme,,
